Time (s)	jump_z_t (m)	Displacement field, Z-component (m)	w-jump_z_t (m)
1.9680	0.031542	0.031542	-6.4811E-10
1.9700	0.032220	0.032220	-9.4564E-9
1.9720	0.032905	0.032905	-2.4645E-8
1.9740	0.033595	0.033595	-4.5927E-8
1.9760	0.034291	0.034291	-7.3008E-8
1.9780	0.034993	0.034993	-4.5066E-8
1.9800	0.035701	0.035701	-2.3604E-8
1.9820	0.036414	0.036414	-8.9140E-9
1.9840	0.037133	0.037133	-7.0751E-10
1.9860	0.037857	0.037857	-1.3475E-7
1.9880	0.038587	0.038587	1.8610E-8
1.9900	0.039322	0.039322	-8.9930E-8
1.9920	0.040061	0.040061	-1.6093E-8
1.9940	0.040806	0.040806	-2.4180E-7
1.9960	0.041556	0.041556	6.6159E-9
1.9980	0.042311	0.042310	-1.6730E-7
2.0000	0.043070	0.043070	-8.3601E-9
2.0020	0.043834	0.043834	-9.9653E-8
2.0040	0.044602	0.044602	-4.2460E-8
2.0060	0.045375	0.045375	-3.9702E-8
2.0080	0.046153	0.046152	-8.8993E-8
2.0100	0.046934	0.046934	-8.6080E-9
2.0120	0.047720	0.047719	-1.5130E-7
2.0140	0.048509	0.048509	3.7695E-9
2.0160	0.049303	0.049302	-1.6586E-7
2.0180	0.050100	0.050100	-1.9078E-9
2.0200	0.050901	0.050901	-9.3456E-8
2.0220	0.051705	0.051705	-2.2382E-8
2.0240	0.052513	0.052513	-4.3120E-8
2.0260	0.053325	0.053324	-5.4749E-8
2.0280	0.054139	0.054139	-1.2538E-8
2.0300	0.054957	0.054957	-9.6134E-8
2.0320	0.055778	0.055778	1.2790E-9
2.0340	0.056601	0.056601	-1.4124E-7
2.0360	0.057428	0.057428	1.1916E-9
2.0380	0.058257	0.058257	-8.0818E-8
2.0400	0.059088	0.059088	-9.8279E-9
2.0420	0.059922	0.059922	-3.9279E-8
2.0440	0.060759	0.060759	-2.8770E-8
2.0460	0.061598	0.061598	-1.3709E-8
2.0480	0.062438	0.062438	-5.2584E-8
2.0500	0.063281	0.063281	-1.1306E-9
2.0520	0.064126	0.064126	-7.8183E-8
2.0540	0.064972	0.064972	1.4716E-9
2.0560	0.065820	0.065820	-5.6878E-8
2.0580	0.066670	0.066670	-2.8483E-9
2.0600	0.067521	0.067521	-2.7492E-8
2.0620	0.068373	0.068373	-1.1008E-8
2.0640	0.069227	0.069227	-1.0203E-8
2.0660	0.070081	0.070081	-1.9902E-8
2.0680	0.070937	0.070937	-1.9458E-9
2.0700	0.071793	0.071793	-2.6413E-8
2.0720	0.072650	0.072650	3.6564E-10
2.0740	0.073507	0.073507	-2.0143E-8
2.0760	0.074365	0.074365	-1.6342E-10
2.0780	0.075224	0.075224	-6.2547E-9
2.0800	0.076082	0.076082	-4.1769E-10
