% Model,STAGE6~1.MPH
% Version,COMSOL 6.4.0.378
% Date,"Jun 8 2026, 16:17"
% Table,Table 5 - Volume Integration 2
% Time (s),tumor_mask (m^3),tumor mask volume (m^3),tumor disp integral (m^3)
1.255,4.18102352395752E-6,4.18102352395752E-6,1.8892111825851437E-5
1.26,4.18102352395752E-6,4.18102352395752E-6,1.9072057266004116E-5
1.265,4.18102352395752E-6,4.18102352395752E-6,1.9296946431553028E-5
1.27,4.18102352395752E-6,4.18102352395752E-6,1.9670229715828282E-5
1.275,4.18102352395752E-6,4.18102352395752E-6,2.0261940852317978E-5
1.28,4.18102352395752E-6,4.18102352395752E-6,2.1095615234238203E-5
1.285,4.18102352395752E-6,4.18102352395752E-6,2.219981443222143E-5
1.29,4.18102352395752E-6,4.18102352395752E-6,2.358830127767169E-5
1.295,4.18102352395752E-6,4.18102352395752E-6,2.525782244072968E-5
1.3,4.18102352395752E-6,4.18102352395752E-6,2.7209196444223874E-5
1.305,4.18102352395752E-6,4.18102352395752E-6,2.9357844974662902E-5
1.31,4.18102352395752E-6,4.18102352395752E-6,3.1602207887878664E-5
1.315,4.18102352395752E-6,4.18102352395752E-6,3.386607727822937E-5
1.3199999999999998,4.18102352395752E-6,4.18102352395752E-6,3.6074829903208364E-5
1.325,4.18102352395752E-6,4.18102352395752E-6,3.8127864353037606E-5
1.33,4.18102352395752E-6,4.18102352395752E-6,3.99368921977177E-5
1.335,4.18102352395752E-6,4.18102352395752E-6,4.141948829501086E-5
1.3399999999999999,4.18102352395752E-6,4.18102352395752E-6,4.247739365120882E-5
1.345,4.18102352395752E-6,4.18102352395752E-6,4.308025677142193E-5
1.3499999999999999,4.18102352395752E-6,4.18102352395752E-6,4.321224683035449E-5
1.355,4.18102352395752E-6,4.18102352395752E-6,4.2898671975206336E-5
1.3599999999999999,4.18102352395752E-6,4.18102352395752E-6,4.221261607641959E-5
1.365,4.18102352395752E-6,4.18102352395752E-6,4.126000825065525E-5
1.3699999999999999,4.18102352395752E-6,4.18102352395752E-6,4.018801193115563E-5
1.375,4.18102352395752E-6,4.18102352395752E-6,3.913390936796654E-5
1.38,4.18102352395752E-6,4.18102352395752E-6,3.82309490466195E-5
1.385,4.18102352395752E-6,4.18102352395752E-6,3.755535114098153E-5
1.39,4.18102352395752E-6,4.18102352395752E-6,3.7132565526845774E-5
1.395,4.18102352395752E-6,4.18102352395752E-6,3.697687048158239E-5
1.4,4.18102352395752E-6,4.18102352395752E-6,3.7134674883869615E-5
1.405,4.18102352395752E-6,4.18102352395752E-6,3.7554860681695266E-5
1.41,4.18102352395752E-6,4.18102352395752E-6,3.820711945051077E-5
1.415,4.18102352395752E-6,4.18102352395752E-6,3.904867932672812E-5
1.42,4.18102352395752E-6,4.18102352395752E-6,4.001204535715325E-5
1.425,4.18102352395752E-6,4.18102352395752E-6,4.099032427470726E-5
1.43,4.18102352395752E-6,4.18102352395752E-6,4.18944407630035E-5
1.435,4.18102352395752E-6,4.18102352395752E-6,4.261770177708652E-5
1.44,4.18102352395752E-6,4.18102352395752E-6,4.307101290310419E-5
1.4449999999999998,4.18102352395752E-6,4.18102352395752E-6,4.322613456740624E-5
1.45,4.18102352395752E-6,4.18102352395752E-6,4.305884715130736E-5
1.455,4.18102352395752E-6,4.18102352395752E-6,4.251771543444367E-5
1.46,4.18102352395752E-6,4.18102352395752E-6,4.163256917434714E-5
1.4649999999999999,4.18102352395752E-6,4.18102352395752E-6,4.0431634491447046E-5
1.47,4.18102352395752E-6,4.18102352395752E-6,3.893874251510037E-5
1.475,4.18102352395752E-6,4.18102352395752E-6,3.7154382357465666E-5
1.48,4.18102352395752E-6,4.18102352395752E-6,3.518101419662532E-5
1.4849999999999999,4.18102352395752E-6,4.18102352395752E-6,3.308107571437557E-5
1.49,4.18102352395752E-6,4.18102352395752E-6,3.092514273374348E-5
