"Case","TimeS","Nodes","MeanDispMm","MaxDispMm","MeanWMm","MeanAbsWMm","MinWMm","MaxWMm","MeanVmKpa","MaxVmKpa","P95DispMm","P95AbsWMm"
"simple_softskin_control","1.605","2776","6.95001992775678","11.9357284087396","-6.88020813956548","6.88020813956548","-11.9357279166597","0","0.969587877855295","3.83318570311286","11.8406858885278","11.8406277035167"
"simple_softskin_control","1.61","2776","6.51397545414581","11.2536577781875","-6.44308720523652","6.44308720523652","-11.2536569754942","0","0.911549304372924","3.58955431257549","11.1610215891377","11.160893521786"
"simple_softskin_control","1.615","2776","5.98273854307063","10.3757226479814","-5.91213045980626","5.91213045980626","-10.375721740646","0","0.838537179557533","3.30106750998594","10.2892407980493","10.2891206324295"
"simple_softskin_control","1.62","2776","5.36011835546098","9.3177071241978","-5.29144011258697","5.29144011258697","-9.31770658759837","0","0.752087463334262","2.96421308962976","9.23616289912713","9.23605009241634"
"simple_softskin_control","1.625","2776","4.65221333424042","8.09910754401372","-4.58732085306919","4.58732085306919","-8.09910740685796","0","0.653898801481099","2.57774285844637","8.02512352655044","8.024600928918"
"simple_softskin_control","1.63","2776","3.86647402602068","6.75167685706626","-3.80732058346118","3.80732058346118","-6.75167614920659","0","0.545344439752373","2.14352904699041","6.6808254879319","6.68069641072814"
"simple_softskin_control","1.635","2776","3.01139992268685","5.28476887816381","-2.95987160304527","2.95987160304527","-5.28476620274281","0","0.427445594555539","1.666373189886","5.21178464700588","5.21016181927592"
"simple_softskin_control","1.64","2776","2.09683863181193","3.71262528444964","-2.05438898037033","2.05438898037033","-3.71262062342168","0","0.3013000136025","1.15331334632389","3.64500974383082","3.64166479440121"
"simple_softskin_control","1.645","2776","1.1353756627808","2.0569368175443","-1.10148384835494","1.10151638134119","-2.05693100942214","0.00626238820353739","0.16908250951839","0.612736468539368","1.99384953954325","1.99102613041764"
"simple_softskin_control","1.65","2776","0.180594311528418","0.48613709951629","-0.111219694250469","0.128226262743068","-0.334403132158112","0.114942700860162","0.0437937019224088","0.11677951861501","0.366275187386707","0.275732186001623"
