time_s,mean_delta_w_mm,mean_abs_delta_w_mm,p95_abs_delta_w_mm,p99_abs_delta_w_mm,max_abs_delta_w_mm,min_delta_w_mm,max_delta_w_mm,mean_abs_delta_disp_mag_mm,p95_abs_delta_disp_mag_mm,max_abs_delta_disp_mag_mm,mean_delta_vector_mm,p95_delta_vector_mm,max_delta_vector_mm,mean_abs_delta_vm_kpa,p95_abs_delta_vm_kpa,max_abs_delta_vm_kpa
1.0,-3.252083547246335e-15,3.2747366500256745e-15,6.071532165918825e-15,7.806255641895632e-15,1.0408340855860843e-14,-1.0408340855860843e-14,4.87890977618477e-15,3.3919400849067034e-15,6.6027912304366826e-15,1.3010426069826053e-14,4.5462093905656135e-15,7.739325980335943e-15,1.3590313136093475e-14,2.795070068095739e-13,1.2154941941844299e-12,1.3667886378243566e-11
1.025,-7.096669993470195e-15,7.525147979347754e-15,1.3010426069826053e-14,1.5911751083397288e-14,1.9081958235744878e-14,-1.9081958235744878e-14,1.474514954580286e-14,8.203552087720176e-15,1.5612511283791264e-14,2.5587171270657905e-14,9.32381356965315e-15,1.7397788423514932e-14,2.896281277242065e-14,2.6235004787187584e-13,1.1479556860649608e-12,7.2332113632000985e-12
1.05,4.015052385587645e-15,4.036936677459714e-15,7.806255641895632e-15,1.0408340855860843e-14,1.3010426069826053e-14,-4.607859233063394e-15,1.3010426069826053e-14,4.22070483345162e-15,9.107298248878237e-15,1.431146867680866e-14,5.015702143643497e-15,9.84257991450077e-15,1.467482759934995e-14,2.533188809699e-13,1.0364601621404276e-12,1.5115801943466068e-11
1.075,6.147438833519208e-15,6.2564580081024916e-15,1.1275702593849246e-14,1.3877787807814457e-14,1.691355389077387e-14,-4.824699667560495e-15,1.691355389077387e-14,6.739378533808849e-15,1.3205582460873365e-14,2.0816681711721685e-14,8.201000914279765e-15,1.565566444309063e-14,2.47735451500223e-14,2.4987503124969773e-13,1.0359258340031338e-12,1.5289515431504697e-11
1.1,5.5967065038930885e-15,5.607925779342209e-15,1.0408340855860843e-14,1.431146867680866e-14,1.9949319973733282e-14,-4.2825985813177425e-15,1.9949319973733282e-14,5.7430487661258366e-15,1.1275702593849246e-14,2.2551405187698492e-14,6.3049198297990976e-15,1.1445785900228515e-14,2.3130126326713993e-14,3.779027070749778e-13,1.6266909597106857e-12,1.7596903489902615e-11
1.125,1.206720236254583e-16,1.2215556048663877e-15,3.469446951953614e-15,5.136949893236332e-15,6.938893903907228e-15,-6.938893903907228e-15,5.231275482242559e-15,1.618820761874939e-15,5.204170427930421e-15,9.974659986866641e-15,4.527654853620886e-15,8.89163963004567e-15,1.2382709038060257e-14,3.3966848214200194e-13,1.4614670362789164e-12,1.5197656466625632e-11
1.15,3.4592602074322815e-15,3.679515592703537e-15,7.806255641895632e-15,9.107298248878237e-15,1.0842021724855044e-14,-5.312590645178972e-15,1.0842021724855044e-14,4.116589063317612e-15,8.673617379884035e-15,1.3877787807814457e-14,6.120984924335611e-15,1.2268788255946667e-14,1.7996449748174127e-14,3.815281201493876e-13,1.6475496522616596e-12,1.6369995137210934e-11
1.175,3.33199965312475e-15,3.367499049784875e-15,7.15573433840433e-15,9.540979117872439e-15,1.3877787807814457e-14,-5.1228552649940085e-15,1.3877787807814457e-14,3.5300220997171513e-15,8.673617379884035e-15,1.6046192152785466e-14,5.5416786736147445e-15,9.891168736556509e-15,1.708848462068163e-14,4.068228556727772e-13,1.6488598930664e-12,1.5118985174922273e-11
1.2,9.99802379275212e-15,1.0012613320666831e-14,1.691355389077387e-14,1.8648277366750676e-14,2.1250362580715887e-14,-4.716279450311944e-15,2.1250362580715887e-14,1.0483550229847655e-14,1.7780915628762273e-14,2.5153490401663703e-14,1.1570953461497392e-14,1.889722332836153e-14,2.5376020522063195e-14,3.796973571089537e-13,1.5870512015681013e-12,1.5778823581058532e-11
1.205,3.577518522395379e-16,1.6400032903025808e-15,4.7704895589362195e-15,6.938893903907228e-15,9.974659986866641e-15,-9.974659986866641e-15,9.540979117872439e-15,2.164336798891846e-15,6.938893903907228e-15,1.1709383462843448e-14,4.7204666890108155e-15,1.0703672579022738e-14,1.4091735002063382e-14,2.051623485581967e-13,8.84324435901361e-13,1.048283593263477e-11
