roi,time_s,n_points,mean_abs_delta_w_mm,p95_abs_delta_w_mm,max_abs_delta_w_mm,mean_abs_delta_disp_mag_mm,p95_abs_delta_disp_mag_mm,max_abs_delta_disp_mag_mm,mean_abs_delta_vm_kpa,p95_abs_delta_vm_kpa,max_abs_delta_vm_kpa
central_xz_radius_25mm,1.585,971,2.5359232000327123e-13,2.632442874794805e-13,3.0184188481996443e-13,2.5485986511779804e-13,2.654126918244515e-13,3.0270924655795284e-13,7.417739428759219e-13,2.5578970053174996e-12,1.2463289067454752e-11
central_xz_radius_25mm,1.59,971,2.08953561556695e-13,2.1662359406260379e-13,2.443791696782327e-13,2.099855076409495e-13,2.185751579730777e-13,2.443791696782327e-13,4.0777736605619526e-13,1.258399606740568e-12,5.713445716537535e-12
central_xz_radius_25mm,1.595,971,1.9269142223587794e-13,2.0079424234431542e-13,2.220446049250313e-13,1.9370527967420628e-13,2.0361316799277773e-13,2.220446049250313e-13,3.860016899318136e-13,1.1729071047739126e-12,7.560174708487466e-12
central_xz_radius_25mm,1.6,971,2.1196777758617454e-13,2.2356248796651101e-13,2.465475740232037e-13,2.132104228979759e-13,2.2692351470121608e-13,2.469812548921979e-13,5.923554330418186e-13,1.8844161786546463e-12,1.1192241800017654e-11
central_xz_radius_25mm,1.605,971,1.638804522912755e-13,1.682681771697503e-13,1.9981846038907847e-13,1.6403375914841477e-13,1.682681771697503e-13,2.0014372104082412e-13,2.1455560568851388e-13,5.812941239469183e-13,3.746208676602691e-12
central_xz_radius_25mm,1.61,971,4.337545634776045e-14,4.903304325065694e-14,5.388484797252957e-14,4.33210229225198e-14,4.903304325065694e-14,5.388484797252957e-14,2.411298514104122e-13,8.375025117857149e-13,3.0681803764309734e-12
central_xz_radius_25mm,1.615,971,1.7961259149499946e-13,1.8308786561491153e-13,2.1934765202097362e-13,1.776666733077332e-13,1.8317595704142597e-13,2.1940863839317593e-13,1.8467330102483838e-13,5.466951336074999e-13,1.5712586787230975e-12
central_xz_radius_25mm,1.62,971,1.1200986436926623e-13,1.1621292036329e-13,1.3197450944579803e-13,1.1066203693115371e-13,1.1609094761888539e-13,1.3189319428286161e-13,1.0190754110809478e-13,3.0040325782465515e-13,1.1297061064396984e-12
central_xz_radius_25mm,1.625,971,4.015830134315297e-14,4.445228907190568e-14,4.81385764583564e-14,3.928418427751932e-14,4.4072818311535755e-14,4.81385764583564e-14,1.067529577724025e-13,3.0810554108029466e-13,2.1491359802894294e-12
central_xz_radius_25mm,1.63,971,2.460424318369705e-14,2.8514517136368767e-14,3.7621815385247004e-14,2.5242370414979712e-14,3.06287113727155e-14,3.7730235602495554e-14,1.342742143585812e-13,4.064020231453469e-13,2.4508608476025983e-12
