"time_s","avg_displacement_mm","avg_vm_kpa"
"1.29","4.037314","0.43171"
"1.295","4.314452","0.462905"
"1.3","4.620874","0.497765"
"1.305","4.949423","0.535168"
"1.31","5.291528","0.573875"
"1.315","5.637424","0.612662"
"1.32","5.973538","0.6501"
"1.325","6.289011","0.685289"
"1.33","6.576132","0.71756"
"1.335","6.825906","0.745999"
"1.34","7.030017","0.769618"
"1.345","7.184548","0.787725"
"1.35","7.286255","0.799578"
"1.355","7.334998","0.804798"
"1.36","7.336728","0.803942"
"1.365","7.29531","0.797509"
"1.37","7.218635","0.78669"
"1.375","7.113921","0.772686"
"1.38","6.988678","0.756786"
"1.385","6.852708","0.740465"
"1.39","6.71684","0.724955"
"1.395","6.590071","0.711077"
"1.4","6.480847","0.699422"
"1.405","6.399161","0.690725"
"1.41","6.350281","0.685377"
"1.415","6.33492","0.683536"
"1.42","6.352633","0.685379"
"1.425","6.40038","0.690853"
"1.43","6.475018","0.699903"
"1.435","6.565627","0.711298"
"1.44","6.662715","0.723777"
"1.445","6.756578","0.735937"
"1.45","6.8369","0.746285"
"1.455","6.889405","0.752922"
"1.46","6.907234","0.755138"
"1.465","6.882662","0.752235"
"1.47","6.80971","0.743839"
"1.475","6.682046","0.729598"
"1.48","6.495857","0.709358"
"1.485","6.259119","0.683934"
"1.49","5.977279","0.653675"
"1.495","5.658099","0.619067"
"1.5","5.309511","0.580582"
"1.505","4.944203","0.53946"
"1.51","4.574493","0.497217"
"1.515","4.21066","0.4553"
"1.52","3.862181","0.415175"
"1.525","3.540987","0.378645"
"1.53","3.252522","0.346535"
"1.535","3.000687","0.319254"
"1.54","2.788068","0.29687"
"1.545","2.6153","0.279086"
"1.55","2.485377","0.26583"
"1.555","2.388625","0.255916"
"1.56","2.31945","0.24886"
"1.565","2.270953","0.244207"
"1.57","2.235326","0.24142"
"1.575","2.202781","0.239577"
"1.58","2.163659","0.237434"
"1.585","2.109908","0.233787"
"1.59","2.034355","0.227433"
"1.595","1.928516","0.216951"
"1.6","1.787499","0.201525"
"1.605","1.611007","0.181229"
"1.61","1.39854","0.156319"
"1.615","1.151748","0.127459"
"1.62","0.871925","0.095356"
"1.625","0.569434","0.061628"
"1.63","0.255051","0.028607"
"1.635","0.096347","0.014935"
"1.64","0.382781","0.044665"
"1.645","0.670853","0.076139"
"1.65","0.927931","0.104856"
"1.655","1.14369","0.129415"
"1.66","1.310483","0.148629"
"1.665","1.417423","0.160872"
"1.67","1.474306","0.167098"
"1.675","1.476695","0.166749"
"1.68","1.429025","0.160452"
"1.685","1.334464","0.148804"
"1.69","1.2021","0.133119"
"1.695","1.041536","0.114656"
"1.7","0.863884","0.094653"
"1.705","0.68027","0.07419"
"1.71","0.503776","0.054484"
"1.715","0.344359","0.036686"
"1.72","0.214913","0.023556"
"1.725","0.137986","0.019785"
"1.73","0.137342","0.022864"
"1.735","0.153416","0.026236"
"1.74","0.152615","0.026633"
"1.745","0.132949","0.023903"
"1.75","0.101807","0.018967"
"1.755","0.084532","0.014449"
"1.76","0.116217","0.01518"
"1.765","0.161974","0.020925"
"1.77","0.204978","0.027647"
"1.775","0.233119","0.032899"
"1.78","0.236854","0.035344"
"1.785","0.213937","0.03455"
"1.79","0.180899","0.032077"
"1.795","0.218397","0.033334"
"1.8","0.396009","0.04354"
"1.805","0.642707","0.064922"
"1.81","0.936293","0.096313"
"1.815","1.267283","0.133685"
"1.82","1.626173","0.174864"
"1.825","2.002813","0.218201"
"1.83","2.386481","0.261997"
"1.835","2.76441","0.304373"
"1.84","3.12723","0.344347"
"1.845","3.46451","0.380855"
"1.85","3.767039","0.413209"
"1.855","4.023723","0.440716"
"1.86","4.220027","0.462374"
"1.865","4.343197","0.477035"
"1.87","4.389052","0.483957"
"1.875","4.352936","0.482009"
"1.88","4.235922","0.470454"
"1.885","4.047919","0.449744"
"1.89","3.804871","0.421558"
"1.895","3.521392","0.387845"
"1.9","3.21377","0.351018"
"1.9","3.21377","0.351018"
"1.925","1.932088","0.20291"
"1.95","2.204465","0.230115"
"1.975","3.599789","0.39886"
"2","4.347473","0.481629"
"2.025","3.417572","0.374359"
"2.05","2.009309","0.207235"
"2.075","2.03612","0.216833"
"2.1","3.506973","0.379865"
"2.125","4.359276","0.486129"
"2.15","3.513456","0.385174"
"2.175","2.131145","0.225351"
"2.2","1.999696","0.207877"
