% Model,STAGE6~1.MPH
% Version,COMSOL 6.4.0.378
% Date,"Jun 8 2026, 14:56"
% Table,Table 2 - Volume Average 1
% Time (s),Displacement magnitude (mm),von Mises stress (N/m^2)
1.725,0.8804973449733537,273.46414566906253
1.73,0.9539186093221131,297.43681065544376
1.7349999999999999,0.9918844536505446,309.7370416858261
1.74,0.9873301453784652,308.2121073775902
1.745,0.9356892391448626,291.64772821014174
1.75,0.8354906399145567,259.8448654558654
1.755,0.6884917410426235,213.5806096757855
1.76,0.49952604988921223,154.54852271983557
1.7650000000000001,0.2765449908121372,85.34429143604162
1.77,0.052493171381039684,13.83799544412665
1.775,0.24553509005355117,75.61534303999254
1.7799999999999998,0.5140110569178283,157.57822070167936
1.785,0.7763559790258604,237.7838450393244
1.79,1.021351591043246,312.81890033115855
1.795,1.240068281608343,380.0330763504345
1.7999999999999998,1.42584958518828,437.3684802122261
1.805,1.5761758610756955,483.9106306633474
1.81,1.691199680404367,519.472672580733
1.815,1.7739732010519025,544.7466032824374
1.8199999999999998,1.8301003468423074,561.3051743758735
1.825,1.8672556305821628,571.4869804504965
1.83,1.8945221360931321,578.1707594090877
1.835,1.9216126197832444,584.5076251523275
1.8399999999999999,1.9581290091644366,593.6613282332663
1.845,2.0129286206103862,608.5860409067172
1.85,2.093489427878775,631.7843494969061
1.855,2.202660351483878,664.3159705862271
1.8599999999999999,2.3330470442506717,704.1641432153507
1.865,2.4740505515049724,748.2292614833632
1.87,2.6153583096779793,793.3121804631085
1.875,2.747710464413521,836.2324444575361
1.88,2.862794057494601,874.0360631903288
1.885,2.9534463658128196,904.1413005243026
1.8900000000000001,3.014054550413135,924.4951910175201
1.895,3.0409352987307763,933.7196009114723
1.9,3.0325936804340987,931.2535757287288
1.9000000000000001,3.0325936804340974,931.2535757287288
1.925,2.5651497427099423,778.987000539566
1.9500000000000002,2.0416931229830366,617.0115020414963
1.975,2.267379689821121,687.9131926411188
2,2.9376783208708708,898.6221356352307
2.0250000000000004,2.975802220450607,908.3383441637111
2.0500000000000003,2.283095661646562,693.5340742764882
2.075,2.005479045957046,605.5354180897043
2.1,2.574043517729954,780.7641835493771
2.125,3.0417563315352867,934.6823886875843
2.1500000000000004,2.7301436756662354,830.8664099424733
2.1750000000000003,2.11823903217721,639.5988916648856
2.2,2.134104033189403,648.3939627112076
