"Case","TimeS","Nodes","MeanDispMm","MaxDispMm","MeanWMm","MeanAbsWMm","MinWMm","MaxWMm","MeanVmKpa","MaxVmKpa","P95DispMm","P95AbsWMm"
"full_gland_088kPa","0.3","3032","1.67025833706976","2.50297207188012","-1.64363449699172","1.64363449699172","-2.50297204289021","0","1.05177987390027","4.63659483533288","2.40984261385123","2.40935103198166"
"full_gland_088kPa","0.325","3032","1.70312822732073","2.53677078219374","-1.67632478990863","1.67632478990863","-2.53677075555608","0","1.06922558877303","4.78490917546051","2.44531402604041","2.44493776821283"
"full_gland_088kPa","0.35","3032","1.7180747859562","2.55445672333244","-1.69128087553617","1.69128087553617","-2.55445670250193","0","1.07807985508405","4.88145351658219","2.46320553782363","2.46308055258964"
"full_gland_088kPa","0.375","3032","1.80995059207923","2.68890320205629","-1.78183529451018","1.78183529451018","-2.68890317556891","0","1.13544404476724","5.16697456823671","2.59342006093126","2.59315018213027"
"full_gland_088kPa","0.4","3032","2.01030258308529","2.98819790179135","-1.9788950397089","1.9788950397089","-2.98819788559201","0","1.26125569835004","5.6883806689226","2.88113181428782","2.88070111737463"
"full_gland_088kPa","0.425","3032","2.26056772713771","3.37488647372124","-2.22482019322999","2.22482019322999","-3.37488644812473","0","1.42072530698627","6.32306115359154","3.25214416321448","3.25162673531571"
"full_gland_088kPa","0.45","3032","2.4583711675782","3.68211001027084","-2.41923255068094","2.41923255068094","-3.6821099739338","0","1.54757657059144","6.85605202657059","3.5460445805432","3.54533987550307"
"full_gland_088kPa","0.475","3032","2.54488227361909","3.80115739005823","-2.5046146622399","2.5046146622399","-3.8011573520764","0","1.59999876246366","7.11796426836798","3.66280860211973","3.66219211306381"
"full_gland_088kPa","0.5","3032","2.55757105832567","3.8066625066456","-2.51746458219755","2.51746458219755","-3.80666246872453","0","1.60529963556467","7.20665759678135","3.66982880031967","3.66932470843654"
"full_gland_088kPa","0.525","3032","2.59434483058678","3.85973358262616","-2.55381111081244","2.55381111081244","-3.85973354919581","0","1.6285352054545","7.36927912560839","3.72120380660475","3.72066254083873"
"full_gland_088kPa","0.55","3032","2.73282800108104","4.0657347205589","-2.69017473689258","2.69017473689258","-4.06573468360654","0","1.71520045802254","7.74859880577753","3.92007234385023","3.91962154177931"
"full_gland_088kPa","0.575","3032","2.96404338084462","4.41293125383496","-2.91750603987595","2.91750603987595","-4.41293122750773","0","1.86054713581886","8.3544436657384","4.25454716070572","4.25397788248391"
"full_gland_088kPa","0.6","3032","3.20483352669015","4.7887276324353","-3.15410816986373","3.15410816986373","-4.78872759508589","0","2.01560149084869","8.96323888106597","4.61342128541254","4.61254598546224"
"full_gland_088kPa","0.625","3032","3.35829440404707","5.02296830043742","-3.30494348804536","3.30494348804536","-5.02296825567169","0","2.11252692806105","9.3748054704776","4.83859331226492","4.83782013129415"
"full_gland_088kPa","0.65","3032","3.40738695348697","5.08132813232753","-3.35373949919317","3.35373949919317","-5.08132807252682","0","2.14057484135736","9.58024915926513","4.89750659009984","4.8968521933047"
"full_gland_088kPa","0.675","3032","3.41730188975112","5.0856579411349","-3.36384967060506","3.36384967060506","-5.08565789741574","0","2.1451407381445","9.6590337376184","4.90273457334288","4.90205065248621"
"full_gland_088kPa","0.7","3032","3.48763929119159","5.19042364788756","-3.43301099573418","3.43301099573418","-5.19042359652512","0","2.18923932137205","9.87092183630571","5.00439713842908","5.00371049404775"
"full_gland_088kPa","0.725","3032","3.67079149774527","5.46611349339905","-3.6132582376464","3.6132582376464","-5.46611345146796","0","2.30512071846456","10.378916581193","5.26919944692336","5.26848102971453"
"full_gland_088kPa","0.75","3032","3.92156016763362","5.8465387520234","-3.85993183985558","3.85993183985558","-5.8465387147833","0","2.46306761122264","11.0279221824091","5.63533854692044","5.63454960996295"
"full_gland_088kPa","0.775","3032","4.13235231056581","6.1733877523371","-4.06685742584506","4.06685742584506","-6.1733877048693","0","2.59820278636299","11.5530629635471","5.94771271672318","5.94673123739694"
"full_gland_088kPa","0.8","3032","4.23947460006089","6.33439221701357","-4.17236310220992","4.17236310220992","-6.33439214905246","0","2.66609485342949","11.8760794297237","6.10265274413223","6.10158801798041"
