roi,time_s,n_points,mean_abs_delta_w_mm,p95_abs_delta_w_mm,max_abs_delta_w_mm,mean_abs_delta_disp_mag_mm,p95_abs_delta_disp_mag_mm,max_abs_delta_disp_mag_mm,mean_abs_delta_vm_kpa,p95_abs_delta_vm_kpa,max_abs_delta_vm_kpa
central_xz_radius_25mm,0.25,971,2.1612905836305876e-05,2.284208560672388e-05,0.0003592685113538996,2.1425590632347242e-05,2.294193775963715e-05,0.0003500765239862393,0.01599480395771291,0.107310585288094,0.48735194303968704
central_xz_radius_25mm,0.275,971,2.953341525461529e-05,3.0627584101641705e-05,0.0004029311139365369,2.9328930136955295e-05,3.081234066314555e-05,0.0003935053731959903,0.017509654976586637,0.11795337864030983,0.5332991603662739
central_xz_radius_25mm,0.3,971,3.0502892665027035e-05,3.191381586060103e-05,0.00047066130855915635,3.045435046088729e-05,3.262232584549463e-05,0.0004576852338573261,0.02131675190401513,0.14309552422317381,0.6491385144163322
central_xz_radius_25mm,0.325,971,2.9975709122394292e-05,3.17829850256658e-05,0.000529021303010877,2.96945669709738e-05,3.159307580092663e-05,0.000514298983804581,0.02388302453218048,0.1602177773792785,0.7285624502760897
central_xz_radius_25mm,0.35,971,4.3083646532772836e-05,4.522299916107867e-05,0.0005491999992770927,4.283651425976938e-05,4.585991238972506e-05,0.0005354401852422815,0.02383228359964519,0.16095313614617754,0.7256936998919824
central_xz_radius_25mm,0.375,971,2.8862349744486277e-05,3.066646245611631e-05,0.0005358132180641444,2.8695421486874637e-05,3.111831364929676e-05,0.0005215922300098961,0.024372903960864358,0.1639054816487709,0.7414404388302797
central_xz_radius_25mm,0.4,971,3.777478440545286e-05,3.973280474133065e-05,0.0006008113148355324,3.730303013399788e-05,3.9595374220482635e-05,0.0005849193457363455,0.026992600804418114,0.1809035216006742,0.8236841425676364
central_xz_radius_25mm,0.425,971,4.988766885214951e-05,5.18170364019032e-05,0.0006836261170781264,4.9533211972534084e-05,5.2420497732071775e-05,0.0006666303728852623,0.029755243881671722,0.2007686455918431,0.9050506446660893
central_xz_radius_25mm,0.45,971,4.1430736824923336e-05,4.370717685822298e-05,0.0007142459307919735,4.1245304591549596e-05,4.399380088872251e-05,0.0006940520970882304,0.03261721658781836,0.22009673494086224,0.9954455370864426
central_xz_radius_25mm,0.475,971,5.699039201630763e-05,6.203243000746459e-05,0.0007259003968222363,5.617997672349327e-05,6.216765784919278e-05,0.0007068241428993816,0.03185092559103396,0.21414333511640143,0.9688677614938197
central_xz_radius_25mm,0.5,971,3.499173448989063e-05,3.7966213722027443e-05,0.0007246726462508887,3.461823819098816e-05,3.89718698238237e-05,0.0007060054796762319,0.03258196346930124,0.2186897332530009,0.9929812981438441
central_xz_radius_25mm,0.525,971,4.088016780324636e-05,4.324181790275102e-05,0.0007950494106377399,4.0587663374834464e-05,4.328795862387769e-05,0.0007740158369194932,0.03625773080680221,0.24364981461577395,1.1043419616900647
central_xz_radius_25mm,0.55,971,7.663720793202619e-05,7.911220780256259e-05,0.0008927920400502495,7.628096003871451e-05,7.980495045074691e-05,0.000868800650220174,0.0391305159322574,0.2625104206399714,1.191801478185867
central_xz_radius_25mm,0.575,971,5.783228437857821e-05,6.068913582801556e-05,0.000904444676280312,5.753135376756499e-05,6.091327343481917e-05,0.000880986777181212,0.0399608136706974,0.26866619208090275,1.2187601476895762
central_xz_radius_25mm,0.6,971,6.139538282460382e-05,6.452955092495216e-05,0.0009008578876635448,6.0920432219933665e-05,6.601797579550324e-05,0.0008770152625768319,0.0403004156421516,0.2707588438166091,1.2269390081190683
central_xz_radius_25mm,0.625,971,4.557808958319717e-05,4.893015398811738e-05,0.0009146363193646839,4.497235395379455e-05,4.9073658915568114e-05,0.0008904751731225562,0.04161839264662632,0.2789268760697641,1.2682551131316921
central_xz_radius_25mm,0.65,971,4.2281069433732185e-05,4.4964723494925196e-05,0.000991980944879678,4.189819655945414e-05,4.570547374783702e-05,0.0009659170253492264,0.04494727412861832,0.3023349503634612,1.3683539637963322
central_xz_radius_25mm,0.675,971,9.848937099811119e-05,0.00010168042040173495,0.0010994582844191594,9.796293645067382e-05,0.00010256687227425294,0.0010705688398360627,0.048028699084400946,0.3225421094763117,1.4656590829323717
central_xz_radius_25mm,0.7,971,7.288093652539401e-05,7.586278746949532e-05,0.0010806391075722944,7.221871226192082e-05,7.626658917131521e-05,0.0010518740235984647,0.0481527338299108,0.32359105638048424,1.4649840349215442
