time_s,mean_delta_w_mm,mean_abs_delta_w_mm,p95_abs_delta_w_mm,p99_abs_delta_w_mm,max_abs_delta_w_mm,min_delta_w_mm,max_delta_w_mm,mean_abs_delta_disp_mag_mm,p95_abs_delta_disp_mag_mm,max_abs_delta_disp_mag_mm,mean_delta_vector_mm,p95_delta_vector_mm,max_delta_vector_mm,mean_abs_delta_vm_kpa,p95_abs_delta_vm_kpa,max_abs_delta_vm_kpa
0.475,5.025049963970896e-05,8.408232644933867e-05,0.00031327781933723,0.0008221201443625056,0.00242258193288816,-0.0010381414620306332,0.00242258193288816,9.673788336704701e-05,0.0004058108398408552,0.00255724216089928,0.0001560858857903153,0.0004609867975736167,0.003675455710056944,0.014877959780995017,0.042737081010737185,0.9688677614938197
0.5,3.445758593312633e-05,7.41350189072021e-05,0.0003226123619655036,0.0008579663822236415,0.00252414175710389,-0.0010839181764930239,0.00252414175710389,8.969645204324735e-05,0.0004135152488278675,0.002672988639227183,0.00014656892178502,0.0004722810119273733,0.0038249591091812237,0.015310981904195572,0.04450190528707685,0.9929812981438441
0.525,4.0253467345459575e-05,8.089856355951473e-05,0.0003437636163489521,0.0009165397553447722,0.002695010160446744,-0.001155660569654584,0.002695010160446744,9.697349932776095e-05,0.0004341640093904136,0.0028416937539847698,0.00014770670056123521,0.0005025454828975288,0.004087288914917403,0.016817568854599407,0.047786104581577046,1.1043419616900647
0.55,6.716339725532383e-05,0.00010571422617340788,0.0003734013279960922,0.0009687343806479164,0.0028971579402808857,-0.0012438600523513599,0.0028971579402808857,0.00012033658145773229,0.0004762069457186153,0.003061104399161899,0.00017271863803755246,0.0005458648187511913,0.004402075698909214,0.018135506937293756,0.051611320065623946,1.191801478185867
0.575,5.2416131718039404e-05,9.627586274621037e-05,0.0003794888265308255,0.0010187623981391845,0.002988058538310327,-0.0012861701843362423,0.002988058538310327,0.00011348004683585784,0.0004882873211395792,0.003173596575383635,0.00018382431782333424,0.0005614563035892961,0.004558282299857165,0.018587123197695447,0.05342064209330371,1.2187601476895762
0.6,5.499433740914453e-05,9.951848728733863e-05,0.00039121230154550395,0.001034439309581096,0.0030453885846796203,-0.0013070792442043038,0.0030453885846796203,0.0001163841321579109,0.0005096608566960828,0.0032112194803086093,0.00019128040190442288,0.0005717557675754574,0.0046115067188907816,0.01878624106712735,0.0535349936227242,1.2269390081190683
0.625,4.52461428490928e-05,9.425475848075436e-05,0.00040280492971713736,0.00107881383035385,0.003176175352108618,-0.0013604300209178548,0.003176175352108618,0.00011338141732091025,0.000515857554187133,0.0033522962292960347,0.00018111246048324969,0.0005897456698894765,0.004809556799747134,0.019456396893493943,0.05572903472196241,1.2682551131316921
0.65,4.2863600533137005e-05,9.620817481353993e-05,0.00042373303400806755,0.0011448348574915244,0.0033679066664521994,-0.0014492144230849658,0.0033679066664521994,0.0001175404155527744,0.0005466056349642215,0.0035543273778567168,0.0001823682110650443,0.0006369284377986276,0.0051104876758091295,0.02091036540132336,0.06002243289653228,1.3683539637963322
0.675,8.400403478506946e-05,0.0001318987427669373,0.0004568774434186954,0.00120045694593753,0.003534869185713987,-0.0015213678220153193,0.003534869185713987,0.00014963265154002313,0.0005852072186590617,0.0037387570339063032,0.00021455844843822246,0.0006603491744481676,0.005373570931638633,0.02222850885776733,0.06331039747176753,1.4656590829323717
0.7,6.688715869198953e-05,0.00011837836833515401,0.0004689029270746624,0.0012272897999782617,0.0036152545914894633,-0.0015496383689488427,0.0036152545914894633,0.00013821074621134482,0.0005986797860162737,0.0038192317320671952,0.00022606625505348544,0.0006853984513016373,0.005490243109424413,0.022402333119625178,0.06397132389329828,1.4649840349215442
0.725,5.771403795852381e-05,0.0001138257635714047,0.00047196685672743844,0.001252955411760568,0.0036788881717800606,-0.0015810775925731652,0.0036788881717800606,0.00013535078133354713,0.0006102259573394905,0.003890188159152801,0.00022584693417520275,0.0006856177041500424,0.005581071598389345,0.022519342618189768,0.06475976547287093,1.4667093273275154
0.75,5.548252559241295e-05,0.0001145153747375027,0.0004875610802388799,0.0013028498332995724,0.0038284575274647446,-0.001644939714940465,0.0038284575274647446,0.0001378621301699734,0.0006254048471755494,0.004046676655188974,0.00021454702280778042,0.0007131038211665801,0.005807689974750957,0.023666183008092416,0.06757330712392587,1.5471821007656439
0.775,4.164531992234139e-05,0.00010866721254208866,0.0005077741906436046,0.0013716864146536216,0.004036699640901786,-0.0017372535054431461,0.004036699640901786,0.0001354354542693418,0.0006569840763466004,0.004256432152695473,0.00021851203951913425,0.0007663100153883927,0.006126499376348048,0.02522156866677593,0.07186243802410379,1.656484965722297
