"Case","TimeS","Nodes","MeanDispMm","MaxDispMm","MeanWMm","MeanAbsWMm","MinWMm","MaxWMm","MeanVmKpa","MaxVmKpa"
"softskin","1.68","2776","5.774536","9.798511","5.711007","5.711007","0","9.79851","0.798424","3.223362"
"softskin","1.685","2776","6.580491","11.162047","6.509182","6.509182","0","11.162046","0.910116","3.674573"
"softskin","1.69","2776","7.278756","12.329889","7.201478","7.201478","0","12.329888","1.006382","4.06969"
"softskin","1.695","2776","7.871027","13.309907","7.789154","7.789154","0","13.309906","1.08775","4.409785"
"softskin","1.7","2776","8.327665","14.056945","8.24256","8.24256","0","14.056945","1.150544","4.677422"
"softskin","1.705","2776","8.651085","14.581118","8.563786","8.563786","0","14.581118","1.195443","4.86931"
"softskin","1.71","2776","8.823912","14.85555","8.735467","8.735467","0","14.85555","1.220055","4.971082"
"softskin","1.715","2776","8.845118","14.878517","8.756626","8.756626","0","14.878516","1.223925","4.979098"
"softskin","1.72","2776","8.711221","14.644426","8.62396","8.62396","0","14.644425","1.206284","4.889433"
"softskin","1.725","2776","8.416075","14.143766","8.331579","8.331579","0","14.143766","1.165986","4.697788"
"softskin","1.73","2776","7.973169","13.399407","7.892945","7.892945","0","13.399406","1.104688","4.415267"
"softskin","1.735","2776","7.374964","12.403432","7.300637","7.300637","0","12.403432","1.021248","4.043716"
"softskin","1.74","2776","6.651828","11.208929","6.584639","6.584639","0","11.208929","0.920276","3.606041"
"softskin","1.745","2776","5.79737","9.805508","5.73856","5.73856","0","9.805507","0.801441","3.103329"
"softskin","1.75","2776","4.84873","8.249679","4.79906","4.79906","0","8.249676","0.670277","2.554906"
"softskin","1.755","2776","3.806483","6.549365","3.76662","3.76662","0","6.549359","0.527268","1.960542"
"softskin","1.76","2776","2.699797","4.739305","2.669948","2.669948","0","4.739293","0.376353","1.335341"
"softskin","1.765","2776","1.537626","2.827839","1.517338","1.517338","0","2.827819","0.218681","0.68572"
"softskin","1.77","2776","0.358966","0.845415","0.329246","0.336199","-0.041338","0.845361","0.063361","0.213424"
"softskin","1.775","2776","0.890205","1.376178","-0.880142","0.880142","-1.376159","0","0.13143","0.646174"
"softskin","1.78","2776","2.110982","3.294736","-2.09313","2.09313","-3.294728","0","0.286537","1.307948"
"softskin","1.785","2776","3.320884","5.337691","-3.293099","3.293099","-5.337687","0","0.450987","1.954311"
"softskin","1.79","2776","4.50307","7.358854","-4.465163","4.465163","-7.358851","0","0.612793","2.57778"
"softskin","1.795","2776","5.638421","9.308781","-5.590661","5.590661","-9.30878","0","0.768554","3.170469"
