"Case","TimeS","Nodes","MeanDispMm","MaxDispMm","MeanWMm","MeanAbsWMm","MinWMm","MaxWMm","MeanVmKpa","MaxVmKpa"
"skin88","1.775","2776","1.531091","2.636732","1.495921","1.495921","0","2.636731","1.121583","3.129711"
"skin88","1.78","2776","1.3215","2.294479","1.289736","1.289736","0","2.294476","0.973668","2.524317"
"skin88","1.785","2776","1.0358","1.827997","1.008712","1.008712","0","1.827993","0.772716","1.764427"
"skin88","1.79","2776","0.673191","1.237564","0.651379","0.651379","0","1.234812","0.519468","0.850571"
"skin88","1.795","2776","0.260312","0.61702","0.216316","0.237347","-0.094912","0.513251","0.261181","0.499409"
"skin88","1.8","2776","0.29641","0.492575","-0.282591","0.282591","-0.476737","0","0.246191","1.622793"
"skin88","1.805","2776","0.854961","1.228722","-0.84035","0.84035","-1.228722","0","0.592457","3.062914"
"skin88","1.81","2776","1.469944","2.216802","-1.445778","1.445778","-2.216802","0","1.023478","4.622077"
"skin88","1.815","2776","2.118316","3.251802","-2.083048","2.083048","-3.251801","0","1.481539","6.256011"
"skin88","1.82","2776","2.78752","4.318498","-2.740426","2.740426","-4.318497","0","1.95535","7.941555"
"skin88","1.825","2776","3.461642","5.397223","-3.402339","3.402339","-5.39722","0","2.433741","9.642138"
"skin88","1.83","2776","4.128586","6.472841","-4.056921","4.056921","-6.472838","0","2.908715","11.322393"
"skin88","1.835","2776","4.774664","7.527906","-4.690765","4.690765","-7.527905","0","3.371546","12.943353"
"skin88","1.84","2776","5.390105","8.545489","-5.294353","5.294353","-8.545489","0","3.815485","14.483412"
"skin88","1.845","2776","5.966609","9.50899","-5.859636","5.859636","-9.508989","0","4.233913","15.927589"
"skin88","1.85","2776","6.487629","10.387064","-6.370483","6.370483","-10.387064","0","4.613497","17.242663"
"skin88","1.855","2776","6.948362","11.166802","-6.822118","6.822118","-11.166802","0","4.948927","18.397533"
"skin88","1.86","2776","7.331628","11.819313","-7.197462","7.197462","-11.819313","0","5.227355","19.296331"
"skin88","1.865","2776","7.614275","12.305731","-7.473758","7.473758","-12.305731","0","5.43236","19.875983"
"skin88","1.87","2776","7.797409","12.626821","-7.652319","7.652319","-12.626821","0","5.565374","20.182312"
"skin88","1.875","2776","7.871398","12.76547","-7.723968","7.723968","-12.76547","0","5.620037","20.243989"
"skin88","1.88","2776","7.832614","12.713871","-7.68544","7.68544","-12.713871","0","5.594006","20.098107"
"skin88","1.885","2776","7.692549","12.490278","-7.548103","7.548103","-12.490278","0","5.495521","19.769535"
"skin88","1.89","2776","7.448616","12.089602","-7.309457","7.309457","-12.0896","0","5.322082","19.237309"
"skin88","1.895","2776","7.112158","11.529629","-6.980514","6.980514","-11.529628","0","5.080755","18.504588"
"skin88","1.9","2776","6.698044","10.83391","-6.575694","6.575694","-10.833908","0","4.78201","17.598543"
"skin88","1.925","2776","3.943236","6.052378","-3.87891","3.87891","-6.052377","0","2.759152","11.677482"
"skin88","1.95","2776","1.997482","2.734622","-1.968767","1.968767","-2.717595","0","1.352626","6.95717"
"skin88","1.975","2776","2.564955","3.767857","-2.528038","2.528038","-3.767855","0","1.780963","8.522228"
"skin88","2","2776","5.114124","8.084782","-5.025013","5.025013","-8.08478","0","3.615284","14.259128"
"skin88","2.025","2776","7.458622","12.018575","-7.318567","7.318567","-12.018575","0","5.309973","19.179405"
"skin88","2.05","2776","7.614714","12.378191","-7.474751","7.474751","-12.37819","0","5.45005","19.66978"
"skin88","2.075","2776","5.369311","8.535977","-5.273874","5.273874","-8.535976","0","3.804171","14.857369"
"skin88","2.1","2776","2.761387","4.030997","-2.719019","2.719019","-4.030992","0","1.906142","8.719252"
"skin88","2.125","2776","1.943304","2.630318","-1.916846","1.916846","-2.630318","0","1.32096","7.189776"
"skin88","2.15","2776","3.663524","5.641219","-3.603798","3.603798","-5.641216","0","2.566946","10.84975"
"skin88","2.175","2776","6.452379","10.378966","-6.335247","6.335247","-10.378964","0","4.591089","16.92868"
"skin88","2.2","2776","7.894096","12.759541","-7.74778","7.74778","-12.75954","0","5.63536","20.650986"
