% Model,STAGE6~1.MPH
% Version,COMSOL 6.4.0.378
% Date,"Jun 9 2026, 09:09"
% Table,Table 3 - Volume Maximum 1
% Time (s),Displacement magnitude (mm),von Mises stress (N/m^2)
1.435,10.706347726048167,71823.12166139502
1.44,10.842465957097607,72263.94831938163
1.4449999999999998,10.897358953730652,72381.94539761145
1.45,10.8596322079861,72107.21521190774
1.455,10.716550158097602,71295.54983624246
1.46,10.482281115230753,69918.46578080297
1.4649999999999999,10.164999895594702,67988.92617388722
1.47,9.77174938527707,65550.39716959336
1.475,9.305845215831496,62676.76433111528
1.48,8.79687668876881,59629.17098714289
1.4849999999999999,8.261685014813816,56564.794714503834
1.49,7.7188945344346855,53592.89578919349
1.4949999999999999,7.190801412632357,50767.68830511229
1.5,6.695315019215638,48085.41384499408
1.505,6.247817693146597,45578.301778320514
1.51,5.864932319047957,43323.656575070745
1.515,5.552381862307283,41356.16702054888
1.52,5.305898125636617,39641.917736614196
1.525,5.123505029171083,38144.76605218187
1.53,5.00851852799323,36867.20095853389
1.535,4.9465553049116044,35791.12966172933
1.54,4.924545360202167,34898.07700046064
1.545,4.927462455435522,34129.177001303964
1.55,4.934054682724909,33363.332312872706
1.555,4.9215167942884275,32466.721671113937
1.56,4.871352177324293,31350.648985337288
1.565,4.762470246210986,29957.04068493063
1.5699999999999998,4.5724449373632226,28252.56843715755
1.575,4.2970559204787,26240.628029688443
1.58,3.9314121105819866,23890.289617071496
1.585,3.4675912080253513,21168.587564969486
1.5899999999999999,2.9185622735738828,18146.70243124199
1.595,2.306360855142726,14929.23997498826
1.6,1.6564042616580945,11610.423807638594
1.605,1.0092186659354239,8305.928095283161
1.6099999999999999,0.5728317455387582,5121.197317696201
1.615,0.2983710564574665,2183.98818566881
1.6199999999999999,0.6003379984702245,887.0672791796952
1.625,0.9249856585393145,2506.761330904846
1.63,1.1349996033421872,4109.435867668261
1.635,1.239752611578329,5205.189101641035
1.64,1.254327119342117,5832.854524100559
1.645,1.194293666669158,6056.433371281182
1.65,1.0760658984345313,5946.0535065231015
1.655,0.9196872921317976,5562.88301800879
1.66,0.7407349060217094,4980.542427012247
1.665,0.5881115213857125,4306.827264072146
1.67,0.5192971398541291,3664.580345420443
1.675,0.46575997104825995,3187.9024949651534
1.68,0.40774997263794044,3017.317628644207
1.685,0.3554687590467956,3245.0653642349157
1.69,0.3380268228321704,3852.1288776147553
1.6949999999999998,0.379346386552251,4708.116962284467
1.7,0.5060995837149722,5657.904710019687
1.705,0.7321947650653766,6605.174532952774
1.71,1.0123327544089165,7508.32902444629
1.7149999999999999,1.3037600078192613,8327.286703836746
1.72,1.571724529806342,9038.710266113925
1.725,1.7860573629329326,9619.670093052218
1.73,1.931322108169963,10044.289332005597
1.7349999999999999,1.9981866798567354,10267.84058995097
1.74,1.9790990033537477,10212.578525744408
1.745,1.8707921213554866,9771.722513378258
1.75,1.6740349935456105,8830.407938101751
1.755,1.3915238418195435,7338.317840015476
1.76,1.0299517577782524,5342.988220489048
1.7650000000000001,0.6041598658762596,2939.6821748856196
1.77,0.14876911113223312,381.61687271153187
1.775,0.43697104518000385,2859.332839355624
1.7799999999999998,0.8968508657634289,5968.749453888114
1.785,1.391949563175541,9037.734437291721
1.79,1.8710337132654966,11910.554504004274
1.795,2.3197415764850002,14495.64986548069
1.7999999999999998,2.723816567327338,16730.65507974625
1.805,3.0667873498489686,18584.522926869136
1.81,3.3358040831138966,20073.895063487078
1.815,3.521626227651622,21246.46208920046
1.8199999999999998,3.619699952070028,22151.562549284336
1.825,3.6340826026999102,22849.194164639164
1.83,3.5815577703501282,23441.81245611224
1.835,3.4923736212653376,24074.050426788945
1.8399999999999999,3.4089577856603497,24876.70545308447
1.845,3.3737690301024825,25916.962575825954
1.85,3.443877831137739,27218.25482116532
1.855,3.6059516462670063,28672.717552262966
1.8599999999999999,3.8408366632755047,30056.594802491658
1.865,4.1608533801421075,31344.54238767272
1.87,4.521435331237312,32548.480511201833
1.875,4.888227957634544,33684.14610787656
1.88,5.233376419342457,34748.56071246003
1.885,5.529533821150659,35662.815458465804
1.8900000000000001,5.7530067587960145,36313.85797035509
1.895,5.887898153938074,36615.403437150846
1.9,5.926216040525694,36542.11060245848
1.9000000000000001,5.9262160405256905,36542.11060245848
1.925,4.6571333790762,31736.252860503293
1.9500000000000002,3.342720610304308,26955.149711186612
1.975,4.183534400673742,28710.901881420796
2,5.550154826684062,35767.91856405261
2.0250000000000004,5.295275094629963,36117.64675514637
2.0500000000000003,4.183478297674962,28417.869330362617
2.075,3.448971757638762,27153.722139658854
2.1,4.410153873775472,31573.59770110265
2.125,5.824004872080839,36425.570023971035
2.1500000000000004,5.1896579106641285,34014.94219082707
2.1750000000000003,3.410048784876885,27287.099235300397
2.2,3.7097667596942023,27346.37783121177
